ORG_NAME,SEVERITY,_time,count,kpi
savi,high,2023-05-18T00:00:00.000+0100,497,NETClosed
savi,critical,2023-05-18T00:00:00.000+0100,20,NETClosed
pims,high,2023-05-18T00:00:00.000+0100,833,NETClosed
pims,critical,2023-05-18T00:00:00.000+0100,80,NETClosed
mflow,high,2023-05-18T00:00:00.000+0100,879,NETClosed
mflow,critical,2023-05-18T00:00:00.000+0100,61,NETClosed
cpubd,high,2023-05-18T00:00:00.000+0100,62,NETClosed
cpubd,critical,2023-05-18T00:00:00.000+0100,26,NETClosed
cproc,high,2023-05-18T00:00:00.000+0100,303,NETClosed
cproc,critical,2023-05-18T00:00:00.000+0100,41,NETClosed
cplay,high,2023-05-18T00:00:00.000+0100,107,NETClosed
cplay,critical,2023-05-18T00:00:00.000+0100,1,NETClosed
che,high,2023-05-18T00:00:00.000+0100,64,NETClosed
che,critical,2023-05-18T00:00:00.000+0100,2,NETClosed
buy,high,2023-05-18T00:00:00.000+0100,106,NETClosed
buy,critical,2023-05-18T00:00:00.000+0100,6,NETClosed
Voddisco,high,2023-05-18T00:00:00.000+0100,1624,NETClosed
Voddisco,critical,2023-05-18T00:00:00.000+0100,201,NETClosed
Savi 2,high,2023-05-18T00:00:00.000+0100,5,NETClosed
Savi 2,critical,2023-05-18T00:00:00.000+0100,6,NETClosed
Hestia,high,2023-05-18T00:00:00.000+0100,198,NETClosed
Hestia,critical,2023-05-18T00:00:00.000+0100,13,NETClosed
CHA,high,2023-05-18T00:00:00.000+0100,242,NETClosed
sota,high,2023-05-18T00:00:00.000+0100,16,NETOpen
savi,high,2023-05-18T00:00:00.000+0100,824,NETOpen
savi,critical,2023-05-18T00:00:00.000+0100,37,NETOpen
pims,high,2023-05-18T00:00:00.000+0100,187,NETOpen
mflow,high,2023-05-18T00:00:00.000+0100,226,NETOpen
mflow,critical,2023-05-18T00:00:00.000+0100,10,NETOpen
cpubd,high,2023-05-18T00:00:00.000+0100,11,NETOpen
cpubd,critical,2023-05-18T00:00:00.000+0100,1,NETOpen
cproc,high,2023-05-18T00:00:00.000+0100,3,NETOpen
cplay,high,2023-05-18T00:00:00.000+0100,16,NETOpen
che,high,2023-05-18T00:00:00.000+0100,10,NETOpen
buy,high,2023-05-18T00:00:00.000+0100,2,NETOpen
buy,critical,2023-05-18T00:00:00.000+0100,4,NETOpen
Voddisco,high,2023-05-18T00:00:00.000+0100,810,NETOpen
Voddisco,critical,2023-05-18T00:00:00.000+0100,104,NETOpen
Savi 2,high,2023-05-18T00:00:00.000+0100,116,NETOpen
Savi 2,critical,2023-05-18T00:00:00.000+0100,10,NETOpen
Hestia,high,2023-05-18T00:00:00.000+0100,1325,NETOpen
Hestia,critical,2023-05-18T00:00:00.000+0100,121,NETOpen
CHA,high,2023-05-18T00:00:00.000+0100,73,NETOpen
CHA,critical,2023-05-18T00:00:00.000+0100,16,NETOpen
sota,high,2023-05-18T00:00:00.000+0100,0,Q1Closed
sota,critical,2023-05-18T00:00:00.000+0100,0,Q1Closed
savi,high,2023-05-18T00:00:00.000+0100,12,Q1Closed
savi,critical,2023-05-18T00:00:00.000+0100,0,Q1Closed
pims,high,2023-05-18T00:00:00.000+0100,121,Q1Closed
pims,critical,2023-05-18T00:00:00.000+0100,0,Q1Closed
mflow,high,2023-05-18T00:00:00.000+0100,33,Q1Closed
mflow,critical,2023-05-18T00:00:00.000+0100,0,Q1Closed
cpubd,high,2023-05-18T00:00:00.000+0100,0,Q1Closed
cpubd,critical,2023-05-18T00:00:00.000+0100,0,Q1Closed
cproc,high,2023-05-18T00:00:00.000+0100,11,Q1Closed
cproc,critical,2023-05-18T00:00:00.000+0100,0,Q1Closed
cplay,high,2023-05-18T00:00:00.000+0100,11,Q1Closed
cplay,critical,2023-05-18T00:00:00.000+0100,0,Q1Closed
che,high,2023-05-18T00:00:00.000+0100,11,Q1Closed
che,critical,2023-05-18T00:00:00.000+0100,0,Q1Closed
buy,high,2023-05-18T00:00:00.000+0100,12,Q1Closed
buy,critical,2023-05-18T00:00:00.000+0100,0,Q1Closed
Voddisco,high,2023-05-18T00:00:00.000+0100,0,Q1Closed
Voddisco,critical,2023-05-18T00:00:00.000+0100,0,Q1Closed
Savi 2,high,2023-05-18T00:00:00.000+0100,0,Q1Closed
Savi 2,critical,2023-05-18T00:00:00.000+0100,0,Q1Closed
Hestia,high,2023-05-18T00:00:00.000+0100,23,Q1Closed
Hestia,critical,2023-05-18T00:00:00.000+0100,0,Q1Closed
CHA,high,2023-05-18T00:00:00.000+0100,0,Q1Closed
CHA,critical,2023-05-18T00:00:00.000+0100,0,Q1Closed
sota,high,2023-05-18T00:00:00.000+0100,1,Q1Open
savi,high,2023-05-18T00:00:00.000+0100,34,Q1Open
pims,high,2023-05-18T00:00:00.000+0100,176,Q1Open
mflow,high,2023-05-18T00:00:00.000+0100,191,Q1Open
mflow,critical,2023-05-18T00:00:00.000+0100,2,Q1Open
cpubd,high,2023-05-18T00:00:00.000+0100,4,Q1Open
cproc,high,2023-05-18T00:00:00.000+0100,11,Q1Open
cplay,high,2023-05-18T00:00:00.000+0100,22,Q1Open
che,high,2023-05-18T00:00:00.000+0100,15,Q1Open
buy,high,2023-05-18T00:00:00.000+0100,12,Q1Open
buy,critical,2023-05-18T00:00:00.000+0100,1,Q1Open
Voddisco,high,2023-05-18T00:00:00.000+0100,35,Q1Open
Savi 2,high,2023-05-18T00:00:00.000+0100,1,Q1Open
Hestia,high,2023-05-18T00:00:00.000+0100,71,Q1Open
Hestia,critical,2023-05-18T00:00:00.000+0100,2,Q1Open
sota,high,2023-05-17T00:00:00.000+0100,1,Q1Open
savi,high,2023-05-17T00:00:00.000+0100,34,Q1Open
pims,high,2023-05-17T00:00:00.000+0100,176,Q1Open
mflow,high,2023-05-17T00:00:00.000+0100,189,Q1Open
mflow,critical,2023-05-17T00:00:00.000+0100,2,Q1Open
cproc,high,2023-05-17T00:00:00.000+0100,11,Q1Open
cplay,high,2023-05-17T00:00:00.000+0100,22,Q1Open
che,high,2023-05-17T00:00:00.000+0100,11,Q1Open
buy,high,2023-05-17T00:00:00.000+0100,12,Q1Open
buy,critical,2023-05-17T00:00:00.000+0100,1,Q1Open
Voddisco,high,2023-05-17T00:00:00.000+0100,34,Q1Open
Savi 2,high,2023-05-17T00:00:00.000+0100,1,Q1Open
Hestia,high,2023-05-17T00:00:00.000+0100,70,Q1Open
Hestia,critical,2023-05-17T00:00:00.000+0100,2,Q1Open
sota,high,2023-05-17T00:00:00.000+0100,16,NETOpen
savi,high,2023-05-17T00:00:00.000+0100,824,NETOpen
savi,critical,2023-05-17T00:00:00.000+0100,37,NETOpen
pims,high,2023-05-17T00:00:00.000+0100,187,NETOpen
mflow,high,2023-05-17T00:00:00.000+0100,224,NETOpen
mflow,critical,2023-05-17T00:00:00.000+0100,10,NETOpen
cpubd,high,2023-05-17T00:00:00.000+0100,8,NETOpen
cpubd,critical,2023-05-17T00:00:00.000+0100,1,NETOpen
cproc,high,2023-05-17T00:00:00.000+0100,3,NETOpen
cplay,high,2023-05-17T00:00:00.000+0100,16,NETOpen
che,high,2023-05-17T00:00:00.000+0100,6,NETOpen
buy,high,2023-05-17T00:00:00.000+0100,2,NETOpen
buy,critical,2023-05-17T00:00:00.000+0100,4,NETOpen
Voddisco,high,2023-05-17T00:00:00.000+0100,809,NETOpen
Voddisco,critical,2023-05-17T00:00:00.000+0100,104,NETOpen
Savi 2,high,2023-05-17T00:00:00.000+0100,116,NETOpen
Savi 2,critical,2023-05-17T00:00:00.000+0100,10,NETOpen
Hestia,high,2023-05-17T00:00:00.000+0100,1324,NETOpen
Hestia,critical,2023-05-17T00:00:00.000+0100,121,NETOpen
CHA,high,2023-05-17T00:00:00.000+0100,73,NETOpen
CHA,critical,2023-05-17T00:00:00.000+0100,16,NETOpen
sota,high,2023-05-17T00:00:00.000+0100,0,Q1Closed
sota,critical,2023-05-17T00:00:00.000+0100,0,Q1Closed
savi,high,2023-05-17T00:00:00.000+0100,12,Q1Closed
savi,critical,2023-05-17T00:00:00.000+0100,0,Q1Closed
pims,high,2023-05-17T00:00:00.000+0100,121,Q1Closed
pims,critical,2023-05-17T00:00:00.000+0100,0,Q1Closed
mflow,high,2023-05-17T00:00:00.000+0100,33,Q1Closed
mflow,critical,2023-05-17T00:00:00.000+0100,0,Q1Closed
cpubd,high,2023-05-17T00:00:00.000+0100,0,Q1Closed
cpubd,critical,2023-05-17T00:00:00.000+0100,0,Q1Closed
cproc,high,2023-05-17T00:00:00.000+0100,11,Q1Closed
cproc,critical,2023-05-17T00:00:00.000+0100,0,Q1Closed
cplay,high,2023-05-17T00:00:00.000+0100,11,Q1Closed
cplay,critical,2023-05-17T00:00:00.000+0100,0,Q1Closed
che,high,2023-05-17T00:00:00.000+0100,11,Q1Closed
che,critical,2023-05-17T00:00:00.000+0100,0,Q1Closed
buy,high,2023-05-17T00:00:00.000+0100,12,Q1Closed
buy,critical,2023-05-17T00:00:00.000+0100,0,Q1Closed
Voddisco,high,2023-05-17T00:00:00.000+0100,0,Q1Closed
Voddisco,critical,2023-05-17T00:00:00.000+0100,0,Q1Closed
Savi 2,high,2023-05-17T00:00:00.000+0100,0,Q1Closed
Savi 2,critical,2023-05-17T00:00:00.000+0100,0,Q1Closed
Hestia,high,2023-05-17T00:00:00.000+0100,23,Q1Closed
Hestia,critical,2023-05-17T00:00:00.000+0100,0,Q1Closed
CHA,high,2023-05-17T00:00:00.000+0100,0,Q1Closed
CHA,critical,2023-05-17T00:00:00.000+0100,0,Q1Closed
savi,high,2023-05-17T00:00:00.000+0100,497,NETClosed
savi,critical,2023-05-17T00:00:00.000+0100,20,NETClosed
pims,high,2023-05-17T00:00:00.000+0100,833,NETClosed
pims,critical,2023-05-17T00:00:00.000+0100,80,NETClosed
mflow,high,2023-05-17T00:00:00.000+0100,879,NETClosed
mflow,critical,2023-05-17T00:00:00.000+0100,61,NETClosed
cpubd,high,2023-05-17T00:00:00.000+0100,62,NETClosed
cpubd,critical,2023-05-17T00:00:00.000+0100,26,NETClosed
cproc,high,2023-05-17T00:00:00.000+0100,303,NETClosed
cproc,critical,2023-05-17T00:00:00.000+0100,41,NETClosed
cplay,high,2023-05-17T00:00:00.000+0100,107,NETClosed
cplay,critical,2023-05-17T00:00:00.000+0100,1,NETClosed
che,high,2023-05-17T00:00:00.000+0100,64,NETClosed
che,critical,2023-05-17T00:00:00.000+0100,2,NETClosed
buy,high,2023-05-17T00:00:00.000+0100,106,NETClosed
buy,critical,2023-05-17T00:00:00.000+0100,6,NETClosed
Voddisco,high,2023-05-17T00:00:00.000+0100,1624,NETClosed
Voddisco,critical,2023-05-17T00:00:00.000+0100,201,NETClosed
Savi 2,high,2023-05-17T00:00:00.000+0100,5,NETClosed
Savi 2,critical,2023-05-17T00:00:00.000+0100,6,NETClosed
Hestia,high,2023-05-17T00:00:00.000+0100,198,NETClosed
Hestia,critical,2023-05-17T00:00:00.000+0100,13,NETClosed
CHA,high,2023-05-17T00:00:00.000+0100,242,NETClosed
sota,high,2023-05-16T00:00:00.000+0100,0,Q1Closed
sota,critical,2023-05-16T00:00:00.000+0100,0,Q1Closed
savi,high,2023-05-16T00:00:00.000+0100,12,Q1Closed
savi,critical,2023-05-16T00:00:00.000+0100,0,Q1Closed
pims,high,2023-05-16T00:00:00.000+0100,121,Q1Closed
pims,critical,2023-05-16T00:00:00.000+0100,0,Q1Closed
mflow,high,2023-05-16T00:00:00.000+0100,33,Q1Closed
mflow,critical,2023-05-16T00:00:00.000+0100,0,Q1Closed
cpubd,high,2023-05-16T00:00:00.000+0100,0,Q1Closed
cpubd,critical,2023-05-16T00:00:00.000+0100,0,Q1Closed
cproc,high,2023-05-16T00:00:00.000+0100,11,Q1Closed
cproc,critical,2023-05-16T00:00:00.000+0100,0,Q1Closed
cplay,high,2023-05-16T00:00:00.000+0100,11,Q1Closed
cplay,critical,2023-05-16T00:00:00.000+0100,0,Q1Closed
che,high,2023-05-16T00:00:00.000+0100,11,Q1Closed
che,critical,2023-05-16T00:00:00.000+0100,0,Q1Closed
buy,high,2023-05-16T00:00:00.000+0100,12,Q1Closed
buy,critical,2023-05-16T00:00:00.000+0100,0,Q1Closed
Voddisco,high,2023-05-16T00:00:00.000+0100,0,Q1Closed
Voddisco,critical,2023-05-16T00:00:00.000+0100,0,Q1Closed
Savi 2,high,2023-05-16T00:00:00.000+0100,0,Q1Closed
Savi 2,critical,2023-05-16T00:00:00.000+0100,0,Q1Closed
Hestia,high,2023-05-16T00:00:00.000+0100,1,Q1Closed
Hestia,critical,2023-05-16T00:00:00.000+0100,0,Q1Closed
CHA,high,2023-05-16T00:00:00.000+0100,0,Q1Closed
CHA,critical,2023-05-16T00:00:00.000+0100,0,Q1Closed
sota,high,2023-05-16T00:00:00.000+0100,16,NETOpen
savi,high,2023-05-16T00:00:00.000+0100,824,NETOpen
savi,critical,2023-05-16T00:00:00.000+0100,37,NETOpen
pims,high,2023-05-16T00:00:00.000+0100,187,NETOpen
mflow,high,2023-05-16T00:00:00.000+0100,223,NETOpen
mflow,critical,2023-05-16T00:00:00.000+0100,9,NETOpen
cpubd,high,2023-05-16T00:00:00.000+0100,8,NETOpen
cpubd,critical,2023-05-16T00:00:00.000+0100,1,NETOpen
cproc,high,2023-05-16T00:00:00.000+0100,3,NETOpen
cplay,high,2023-05-16T00:00:00.000+0100,16,NETOpen
che,high,2023-05-16T00:00:00.000+0100,6,NETOpen
buy,high,2023-05-16T00:00:00.000+0100,2,NETOpen
buy,critical,2023-05-16T00:00:00.000+0100,4,NETOpen
Voddisco,high,2023-05-16T00:00:00.000+0100,809,NETOpen
Voddisco,critical,2023-05-16T00:00:00.000+0100,104,NETOpen
Savi 2,high,2023-05-16T00:00:00.000+0100,116,NETOpen
Savi 2,critical,2023-05-16T00:00:00.000+0100,10,NETOpen
Hestia,high,2023-05-16T00:00:00.000+0100,1346,NETOpen
Hestia,critical,2023-05-16T00:00:00.000+0100,120,NETOpen
CHA,high,2023-05-16T00:00:00.000+0100,73,NETOpen
CHA,critical,2023-05-16T00:00:00.000+0100,16,NETOpen
sota,high,2023-05-16T00:00:00.000+0100,1,Q1Open
savi,high,2023-05-16T00:00:00.000+0100,34,Q1Open
pims,high,2023-05-16T00:00:00.000+0100,176,Q1Open
mflow,high,2023-05-16T00:00:00.000+0100,188,Q1Open
mflow,critical,2023-05-16T00:00:00.000+0100,1,Q1Open
cproc,high,2023-05-16T00:00:00.000+0100,11,Q1Open
cplay,high,2023-05-16T00:00:00.000+0100,22,Q1Open
che,high,2023-05-16T00:00:00.000+0100,11,Q1Open
buy,high,2023-05-16T00:00:00.000+0100,12,Q1Open
buy,critical,2023-05-16T00:00:00.000+0100,1,Q1Open
Voddisco,high,2023-05-16T00:00:00.000+0100,34,Q1Open
Savi 2,high,2023-05-16T00:00:00.000+0100,1,Q1Open
Hestia,high,2023-05-16T00:00:00.000+0100,70,Q1Open
Hestia,critical,2023-05-16T00:00:00.000+0100,1,Q1Open
savi,high,2023-05-16T00:00:00.000+0100,497,NETClosed
savi,critical,2023-05-16T00:00:00.000+0100,20,NETClosed
pims,high,2023-05-16T00:00:00.000+0100,833,NETClosed
pims,critical,2023-05-16T00:00:00.000+0100,80,NETClosed
mflow,high,2023-05-16T00:00:00.000+0100,879,NETClosed
mflow,critical,2023-05-16T00:00:00.000+0100,61,NETClosed
cpubd,high,2023-05-16T00:00:00.000+0100,62,NETClosed
cpubd,critical,2023-05-16T00:00:00.000+0100,26,NETClosed
cproc,high,2023-05-16T00:00:00.000+0100,303,NETClosed
cproc,critical,2023-05-16T00:00:00.000+0100,41,NETClosed
cplay,high,2023-05-16T00:00:00.000+0100,107,NETClosed
cplay,critical,2023-05-16T00:00:00.000+0100,1,NETClosed
che,high,2023-05-16T00:00:00.000+0100,64,NETClosed
che,critical,2023-05-16T00:00:00.000+0100,2,NETClosed
buy,high,2023-05-16T00:00:00.000+0100,106,NETClosed
buy,critical,2023-05-16T00:00:00.000+0100,6,NETClosed
Voddisco,high,2023-05-16T00:00:00.000+0100,1624,NETClosed
Voddisco,critical,2023-05-16T00:00:00.000+0100,201,NETClosed
Savi 2,high,2023-05-16T00:00:00.000+0100,5,NETClosed
Savi 2,critical,2023-05-16T00:00:00.000+0100,6,NETClosed
Hestia,high,2023-05-16T00:00:00.000+0100,176,NETClosed
Hestia,critical,2023-05-16T00:00:00.000+0100,13,NETClosed
CHA,high,2023-05-16T00:00:00.000+0100,242,NETClosed
sota,high,2023-05-15T00:00:00.000+0100,16,NETOpen
savi,high,2023-05-15T00:00:00.000+0100,824,NETOpen
savi,critical,2023-05-15T00:00:00.000+0100,37,NETOpen
pims,high,2023-05-15T00:00:00.000+0100,187,NETOpen
mflow,high,2023-05-15T00:00:00.000+0100,223,NETOpen
mflow,critical,2023-05-15T00:00:00.000+0100,8,NETOpen
cpubd,high,2023-05-15T00:00:00.000+0100,8,NETOpen
cpubd,critical,2023-05-15T00:00:00.000+0100,1,NETOpen
cproc,high,2023-05-15T00:00:00.000+0100,3,NETOpen
cplay,high,2023-05-15T00:00:00.000+0100,16,NETOpen
che,high,2023-05-15T00:00:00.000+0100,6,NETOpen
buy,high,2023-05-15T00:00:00.000+0100,2,NETOpen
buy,critical,2023-05-15T00:00:00.000+0100,3,NETOpen
Voddisco,high,2023-05-15T00:00:00.000+0100,809,NETOpen
Voddisco,critical,2023-05-15T00:00:00.000+0100,104,NETOpen
Savi 2,high,2023-05-15T00:00:00.000+0100,116,NETOpen
Savi 2,critical,2023-05-15T00:00:00.000+0100,10,NETOpen
Hestia,high,2023-05-15T00:00:00.000+0100,1346,NETOpen
Hestia,critical,2023-05-15T00:00:00.000+0100,120,NETOpen
CHA,high,2023-05-15T00:00:00.000+0100,73,NETOpen
CHA,critical,2023-05-15T00:00:00.000+0100,16,NETOpen
savi,high,2023-05-15T00:00:00.000+0100,497,NETClosed
savi,critical,2023-05-15T00:00:00.000+0100,20,NETClosed
pims,high,2023-05-15T00:00:00.000+0100,833,NETClosed
pims,critical,2023-05-15T00:00:00.000+0100,80,NETClosed
mflow,high,2023-05-15T00:00:00.000+0100,879,NETClosed
mflow,critical,2023-05-15T00:00:00.000+0100,61,NETClosed
cpubd,high,2023-05-15T00:00:00.000+0100,62,NETClosed
cpubd,critical,2023-05-15T00:00:00.000+0100,26,NETClosed
cproc,high,2023-05-15T00:00:00.000+0100,303,NETClosed
cproc,critical,2023-05-15T00:00:00.000+0100,41,NETClosed
cplay,high,2023-05-15T00:00:00.000+0100,107,NETClosed
cplay,critical,2023-05-15T00:00:00.000+0100,1,NETClosed
che,high,2023-05-15T00:00:00.000+0100,64,NETClosed
che,critical,2023-05-15T00:00:00.000+0100,2,NETClosed
buy,high,2023-05-15T00:00:00.000+0100,106,NETClosed
buy,critical,2023-05-15T00:00:00.000+0100,6,NETClosed
Voddisco,high,2023-05-15T00:00:00.000+0100,1624,NETClosed
Voddisco,critical,2023-05-15T00:00:00.000+0100,201,NETClosed
Savi 2,high,2023-05-15T00:00:00.000+0100,5,NETClosed
Savi 2,critical,2023-05-15T00:00:00.000+0100,6,NETClosed
Hestia,high,2023-05-15T00:00:00.000+0100,176,NETClosed
Hestia,critical,2023-05-15T00:00:00.000+0100,13,NETClosed
CHA,high,2023-05-15T00:00:00.000+0100,242,NETClosed
mflow,high,2023-05-15T00:00:00.000+0100,31,Q1Closed
cplay,high,2023-05-15T00:00:00.000+0100,11,Q1Closed
buy,high,2023-05-15T00:00:00.000+0100,12,Q1Closed
sota,high,2023-05-15T00:00:00.000+0100,1,Q1Open
savi,high,2023-05-15T00:00:00.000+0100,34,Q1Open
pims,high,2023-05-15T00:00:00.000+0100,176,Q1Open
mflow,high,2023-05-15T00:00:00.000+0100,188,Q1Open
cproc,high,2023-05-15T00:00:00.000+0100,11,Q1Open
cplay,high,2023-05-15T00:00:00.000+0100,22,Q1Open
che,high,2023-05-15T00:00:00.000+0100,11,Q1Open
buy,high,2023-05-15T00:00:00.000+0100,12,Q1Open
Voddisco,high,2023-05-15T00:00:00.000+0100,34,Q1Open
Savi 2,high,2023-05-15T00:00:00.000+0100,1,Q1Open
Hestia,high,2023-05-15T00:00:00.000+0100,70,Q1Open
Hestia,critical,2023-05-15T00:00:00.000+0100,1,Q1Open
savi,high,2023-05-15T00:00:00.000+0100,12,Q1Closed
pims,high,2023-05-15T00:00:00.000+0100,121,Q1Closed
mflow,high,2023-05-15T00:00:00.000+0100,33,Q1Closed
cproc,high,2023-05-15T00:00:00.000+0100,11,Q1Closed
cplay,high,2023-05-15T00:00:00.000+0100,11,Q1Closed
che,high,2023-05-15T00:00:00.000+0100,11,Q1Closed
buy,high,2023-05-15T00:00:00.000+0100,12,Q1Closed
Hestia,high,2023-05-15T00:00:00.000+0100,1,Q1Closed
savi,high,2023-05-14T00:00:00.000+0100,497,NETClosed
savi,critical,2023-05-14T00:00:00.000+0100,20,NETClosed
pims,high,2023-05-14T00:00:00.000+0100,811,NETClosed
pims,critical,2023-05-14T00:00:00.000+0100,80,NETClosed
mflow,high,2023-05-14T00:00:00.000+0100,857,NETClosed
mflow,critical,2023-05-14T00:00:00.000+0100,61,NETClosed
cpubd,high,2023-05-14T00:00:00.000+0100,62,NETClosed
cpubd,critical,2023-05-14T00:00:00.000+0100,26,NETClosed
cproc,high,2023-05-14T00:00:00.000+0100,303,NETClosed
